text,type,department
"Подскажите, пожалуйста, когда в нашем районе планируется ремонт дворовых проездов и можно ли посмотреть график работ?",запрос информации,Благоустройство
"Подскажите, пожалуйста, когда в нашем районе планируется ремонт дворовых проездов и можно ли посмотреть график работ?",запрос информации,Благоустройство
"Прошу оказать услугу по промывке системы отопления в квартире по адресу ул. Школьная, д. 71, кв. 75, радиаторы греют не полностью. Готова быть дома в будни после 18:00.",запрос услуги,ЖКХ
"Здравствуйте! Во дворе по адресу ул. Центральная, д. 9, кв. 65 детская площадка в плохом состоянии: сломаны элементы и торчат гвозди. Дети там играют каждый день. Прошу срочно отремонтировать и огородить место до ремонта.",жалоба,Благоустройство
Предлагаю организовать в нашем доме ул. Карла Маркса д. 85 кв. 52 раздельный сбор отходов — хотя бы стекло/пластик. Во дворе есть место рядом с ТБО. Думаю жители поддержат.,предложение,Благоустройство
"Прошу разобраться с работой регистратуры поликлиники №15: невозможно дозвониться, запись на приём отсутствует, сотрудники отвечают грубо. Прошу провести проверку и сообщить результат. Заранее спасибо.",жалоба,Здравоохранение
"Здравствуйте! Во дворе по адресу ул. Советская, д. 12, кв. 38 детская площадка в плохом состоянии: сломаны элементы и торчат гвозди. Дети там играют каждый день. Прошу срочно отремонтировать и огородить место до ремонта.",жалоба,Благоустройство
"Спасибо сотрудникам района за уборку территории у ул. Победы, д. 16, кв. 84 и покос травы — стало гораздо чище.",благодарность,Благоустройство
"  в подъезде течёт крыша, вода капает на лестницу  ",сообщение о неисправности,ЖКХ
Прошу выдать направление в специализированное медучреждение для прикрепления к поликлинике. Амбулаторная карта находится в поликлинике №8.,заявление/ходатайство,Здравоохранение
"Прошу включить территорию у дома ул. Лесная, д. 119, кв. 49 в план благоустройства на 2026 год (асфальтирование, лавочки, урны). Жильцы инициативу поддерживают.",заявление/ходатайство,Благоустройство
"Прошу оказать услугу по промывке системы отопления в квартире по адресу ул. Победы, д. 5, кв. 37, радиаторы греют не полностью. Готова быть дома в будни после 18:00.",запрос услуги,ЖКХ
Добрый день. Обращаюсь с жалобой по адресу ул. Парковая д. 87 кв. 40: лампа во дворе не горит уже 5 день(дня). Заявки в диспетчерскую подавала — реакции нет. Прошу разобраться и дать ответ в установленные сроки.,жалоба,Благоустройство
"Прошу включить территорию у дома ул. Победы, д. 102, кв. 62 в план благоустройства на 2026 год (асфальтирование, лавочки, урны). Жильцы инициативу поддерживают.",заявление/ходатайство,Благоустройство
"Хочу поблагодарить аварийную службу за быструю ликвидацию протечки в доме ул. Карла Маркса, д. 23, кв. 76 — приехали в течение часа, всё сделали аккуратно.",благодарность,ЖКХ
"на площадке сломаны качели, дети не могут играть",жалоба,Благоустройство
"Хочу предложить высадить кустарники/деревья вдоль пешеходной дорожки у дома ул. Садовая, д. 115, кв. 37, сейчас там пусто и летом пыльно. Можно сделать субботник совместно с жителями.",предложение,ЖКХ
Прошу выдать направление в специализированное медучреждение для санаторно-курортного лечения. Амбулаторная карта находится в поликлинике №1.,заявление/ходатайство,Здравоохранение
Выражаю благодарность врачу поликлиники №13 за внимательное отношение и подробные разъяснения по лечению.,благодарность,Здравоохранение
"Добрый день. Обращаюсь с жалобой по адресу наб. Реки, д. 47, кв. 82: двор не чистят уже 4 день(дня). Заявки в диспетчерскую подавала — реакции нет. Прошу разобраться и дать ответ в установленные сроки.",жалоба,Благоустройство
"Хочу предложить высадить кустарники/деревья вдоль пешеходной дорожки у дома наб. Реки, д. 35, кв. 28, сейчас там пусто и летом пыльно. Можно сделать субботник совместно с жителями. Заранее спасибо.",предложение,ЖКХ
"Сообщаю: на детской площадке возле ул. Парковая, д. 2, кв. 6 сломаны качели (отошла перекладина), дети могут травмироваться. Просьба отремонтировать/огородить.",сообщение о неисправности,Благоустройство
"Прошу разобраться с работой регистратуры поликлиники №3: невозможно дозвониться, запись на приём отсутствует, сотрудники отвечают грубо. Прошу провести проверку и сообщить результат.",жалоба,Здравоохранение
Добрый день. Обращаюсь с жалобой по адресу ул. Школьная д. 43 кв. 41: кусты заросли уже 3 день(дня). Заявки в диспетчерскую подавала — реакции нет. Прошу разобраться и дать ответ в установленные сроки.,жалоба,Благоустройство
Прошу включить мой двор (ул. Школьная д. 107 кв. 89) в список на зимнюю уборку и обработку реагентами так как тротуар сильно обледеневает.,запрос услуги,Благоустройство
"Хочу поблагодарить аварийную службу за быструю ликвидацию протечки в доме пр. Мира, д. 80, кв. 43 — приехали в течение часа, всё сделали аккуратно.",благодарность,ЖКХ
Прошу выдать направление в специализированное медучреждение для прикрепления к поликлинике. Амбулаторная карта находится в поликлинике №15. Заранее спасибо.,заявление/ходатайство,Здравоохранение
Сообщаю о неисправности электронной очереди в поликлинике №2 — талон печатается без времени и кабинета. Нужна проверка.,сообщение о неисправности,Здравоохранение
"Подскажите, пожалуйста, когда в нашем районе планируется ремонт дворовых проездов и можно ли посмотреть график работ?",запрос информации,Благоустройство
"Хочу поблагодарить аварийную службу за быструю ликвидацию протечки в доме пр. Мира, д. 61, кв. 75 — приехали в течение часа, всё сделали аккуратно. Заранее спасибо.",благодарность,ЖКХ
"Спасибо сотрудникам района за уборку территории у ул. Центральная, д. 106, кв. 88 и покос травы — стало гораздо чище.",благодарность,Благоустройство
"Хочу поблагодарить аварийную службу за быструю ликвидацию протечки в доме ул. Садовая, д. 109, кв. 58 — приехали в течение часа, всё сделали аккуратно.",благодарность,ЖКХ
"лампа во дворе не горит уже неделю, адрес ул. Ленина 12",сообщение о неисправности,Благоустройство
Выражаю благодарность врачу поликлиники №13 за внимательное отношение и подробные разъяснения по лечению.,благодарность,Здравоохранение
"Предлагаю сделать электронную форму обратной связи на сайте поликлиники, чтобы можно было оставить отзыв по работе врача и быстро получить ответ. Заранее спасибо.",предложение,Здравоохранение
"ЛАМПА ВО ДВОРЕ НЕ ГОРИТ УЖЕ НЕДЕЛЮ, АДРЕС УЛ. ЛЕНИНА 12",сообщение о неисправности,Благоустройство
Прошу записать меня на приём к терапевту в поликлинику №9 и оформить направление к узкому специалисту так как через портал не получается.,запрос услуги,Здравоохранение
"Прошу рассмотреть возможность предоставления рассрочки по оплате коммунальных услуг по адресу ул. Садовая, д. 33, кв. 69 в связи с временной потерей дохода. Документы могу приложить.",заявление/ходатайство,ЖКХ
"Подскажите, пожалуйста, когда в нашем районе планируется ремонт дворовых проездов и можно ли посмотреть график работ?",запрос информации,Благоустройство
Сообщаю о неисправности электронной очереди в поликлинике №1 — талон печатается без времени и кабинета. Нужна проверка.,сообщение о неисправности,Здравоохранение
Здравствуйте! Во дворе по адресу ул. Школьная д. 59 кв. 39 детская площадка в плохом состоянии: сломаны элементы и торчат гвозди. Дети там играют каждый день. Прошу срочно отремонтировать и огородить место до ремонта.,жалоба,Благоустройство
"Подскажите, пожалуйста, когда в нашем районе планируется ремонт дворовых проездов и можно ли посмотреть график работ?",запрос информации,Благоустройство
"Спасибо сотрудникам района за уборку территории у ул. Парковая, д. 63, кв. 41 и покос травы — стало гораздо чище. Заранее спасибо.",благодарность,Благоустройство
"Прошу оказать услугу по промывке системы отопления в квартире по адресу наб. Реки, д. 18, кв. 81, радиаторы греют не полностью. Готова быть дома в будни после 18:00. Заранее спасибо.",запрос услуги,ЖКХ
Прошу выдать направление в специализированное медучреждение для прикрепления к поликлинике. Амбулаторная карта находится в поликлинике №1. Заранее спасибо.,заявление/ходатайство,Здравоохранение
"Хочу поблагодарить аварийную службу за быструю ликвидацию протечки в доме ул. Парковая, д. 104, кв. 84 — приехали в течение часа, всё сделали аккуратно.",благодарность,ЖКХ
Прошу сообщить когда планируется очередная поверка общедомового счётчика по адресу ул. Школьная д. 34 кв. 23 и кто её оплачивает.,запрос информации,ЖКХ
Хочу поблагодарить аварийную службу за быструю ликвидацию протечки в доме ул. Школьная д. 104 кв. 80 — приехали в течение часа всё сделали аккуратно. Заранее спасибо.,благодарность,ЖКХ
Хочу предложить высадить кустарники/деревья вдоль пешеходной дорожки у дома ул. Победы д. 32 кв. 19 сейчас там пусто и летом пыльно. Можно сделать субботник совместно с жителями.,предложение,ЖКХ
свет отключают по вечерам без предупреждения,сообщение о неисправности,ЖКХ
"Подскажите, пожалуйста, когда в нашем районе планируется ремонт дворовых проездов и можно ли посмотреть график работ?",запрос информации,Благоустройство
"Предлагаю организовать в нашем доме наб. Реки, д. 36, кв. 25 раздельный сбор отходов — хотя бы стекло/пластик. Во дворе есть место рядом с ТБО. Думаю, жители поддержат.",предложение,Благоустройство
"лампа во дворе не горит уже неделю, адрес ул. Ленина 12",сообщение о неисправности,Благоустройство
"лампа во дворе не горит уже неделю, адрес ул. Ленина 12",сообщение о неисправности,Благоустройство
Хочу поблагодарить аварийную службу за быструю ликвидацию протечки в доме ул. Советская д. 86 кв. 6 — приехали в течение часа всё сделали аккуратно.,благодарность,ЖКХ
Выражаю благодарность врачу поликлиники №5 за внимательное отношение и подробные разъяснения по лечению.,благодарность,Здравоохранение
"во дворе огромная лужа после дождя, никто не убирает",сообщение о неисправности,Благоустройство
"Хочу предложить высадить кустарники/деревья вдоль пешеходной дорожки у дома ул. Садовая, д. 107, кв. 66, сейчас там пусто и летом пыльно. Можно сделать субботник совместно с жителями.",предложение,ЖКХ
"Прошу записать меня на приём к терапевту в поликлинику №11 и оформить направление к узкому специалисту, так как через портал не получается. Заранее спасибо.",запрос услуги,Здравоохранение
"яма на дороге перед домом, машины бьются",сообщение о неисправности,Благоустройство
"Сообщаю о неисправности: в подъезде по адресу ул. Центральная, д. 99, кв. 12 перегорело освещение на 3 этаже, ночью там полностью темно. Просьба заменить лампу.",сообщение о неисправности,ЖКХ
Сообщаю о неисправности: в подъезде по адресу ул. Победы д. 73 кв. 17 перегорело освещение на 3 этаже ночью там полностью темно. Просьба заменить лампу.,сообщение о неисправности,ЖКХ
"Хочу предложить высадить кустарники/деревья вдоль пешеходной дорожки у дома ул. Школьная, д. 33, кв. 85, сейчас там пусто и летом пыльно. Можно сделать субботник совместно с жителями.",предложение,ЖКХ
"Прошу разъяснить порядок получения льготных лекарств для пациента с хроническим заболеванием, какие нужны документы и куда их подавать. Заранее спасибо.",запрос информации,Здравоохранение
"  в подъезде течёт крыша, вода капает на лестницу  ",сообщение о неисправности,ЖКХ
"Хочу предложить высадить кустарники/деревья вдоль пешеходной дорожки у дома наб. Реки, д. 94, кв. 13, сейчас там пусто и летом пыльно. Можно сделать субботник совместно с жителями.",предложение,ЖКХ
"Подскажите, пожалуйста, когда в нашем районе планируется ремонт дворовых проездов и можно ли посмотреть график работ? Заранее спасибо.",запрос информации,Благоустройство
"Прошу разобраться с работой регистратуры поликлиники №4: невозможно дозвониться, запись на приём отсутствует, сотрудники отвечают грубо. Прошу провести проверку и сообщить результат.",жалоба,Здравоохранение
  в поликлинике не берут трубку уже третий день  ,жалоба,Здравоохранение
"Прошу включить мой двор (ул. Центральная, д. 57, кв. 43) в список на зимнюю уборку и обработку реагентами, так как тротуар сильно обледеневает.",запрос услуги,Благоустройство
"Прошу сообщить, когда планируется очередная поверка общедомового счётчика по адресу ул. Советская, д. 28, кв. 3, и кто её оплачивает.",запрос информации,ЖКХ
"Прошу разобраться с работой регистратуры поликлиники №14: невозможно дозвониться, запись на приём отсутствует, сотрудники отвечают грубо. Прошу провести проверку и сообщить результат.",жалоба,Здравоохранение
"Добрый день. Обращаюсь с жалобой по адресу ул. Карла Маркса, д. 111, кв. 88: не вывозится мусор уже 9 день(дня). Заявки в диспетчерскую подавала — реакции нет. Прошу разобраться и дать ответ в установленные сроки.",жалоба,ЖКХ
Сообщаю о неисправности электронной очереди в поликлинике №11 — талон печатается без времени и кабинета. Нужна проверка.,сообщение о неисправности,Здравоохранение
"Прошу оказать услугу по промывке системы отопления в квартире по адресу ул. Парковая, д. 36, кв. 9, радиаторы греют не полностью. Готова быть дома в будни после 18:00.",запрос услуги,ЖКХ
"Прошу рассмотреть возможность предоставления рассрочки по оплате коммунальных услуг по адресу ул. Лесная, д. 26, кв. 67 в связи с временной потерей дохода. Документы могу приложить.",заявление/ходатайство,ЖКХ
"Прошу записать меня на приём к терапевту в поликлинику №12 и оформить направление к узкому специалисту, так как через портал не получается.",запрос услуги,Здравоохранение
"Здравствуйте! Во дворе по адресу ул. Победы, д. 37, кв. 55 детская площадка в плохом состоянии: сломаны элементы и торчат гвозди. Дети там играют каждый день. Прошу срочно отремонтировать и огородить место до ремонта.",жалоба,Благоустройство
Выражаю благодарность врачу поликлиники №1 за внимательное отношение и подробные разъяснения по лечению.,благодарность,Здравоохранение
"Прошу разъяснить порядок получения льготных лекарств для пациента с хроническим заболеванием, какие нужны документы и куда их подавать.",запрос информации,Здравоохранение
"Прошу записать меня на приём к терапевту в поликлинику №13 и оформить направление к узкому специалисту, так как через портал не получается.",запрос услуги,Здравоохранение
"во дворе огромная лужа после дождя, никто не убирает",сообщение о неисправности,Благоустройство
"Прошу оказать услугу по промывке системы отопления в квартире по адресу ул. Советская, д. 32, кв. 19, радиаторы греют не полностью. Готова быть дома в будни после 18:00.",запрос услуги,ЖКХ
"Прошу записать меня на приём к терапевту в поликлинику №4 и оформить направление к узкому специалисту, так как через портал не получается. Заранее спасибо.",запрос услуги,Здравоохранение
"Хочу предложить высадить кустарники/деревья вдоль пешеходной дорожки у дома пр. Мира, д. 65, кв. 70, сейчас там пусто и летом пыльно. Можно сделать субботник совместно с жителями. Заранее спасибо.",предложение,ЖКХ
Прошу выдать направление в специализированное медучреждение для прикрепления к поликлинике. Амбулаторная карта находится в поликлинике №8.,заявление/ходатайство,Здравоохранение
"Подскажите, пожалуйста, когда в нашем районе планируется ремонт дворовых проездов и можно ли посмотреть график работ?",запрос информации,Благоустройство
свет отключают по вечерам без предупреждения,сообщение о неисправности,ЖКХ
Прошу сообщить когда планируется очередная поверка общедомового счётчика по адресу пр. Мира д. 84 кв. 3 и кто её оплачивает.,запрос информации,ЖКХ
"Добрый день. Обращаюсь с жалобой по адресу ул. Лесная, д. 22, кв. 40: яма на дороге уже 6 день(дня). Заявки в диспетчерскую подавала — реакции нет. Прошу разобраться и дать ответ в установленные сроки.",жалоба,Благоустройство
"Хочу предложить высадить кустарники/деревья вдоль пешеходной дорожки у дома ул. Центральная, д. 94, кв. 83, сейчас там пусто и летом пыльно. Можно сделать субботник совместно с жителями.",предложение,ЖКХ
"Прошу разъяснить порядок получения льготных лекарств для пациента с хроническим заболеванием, какие нужны документы и куда их подавать. Заранее спасибо.",запрос информации,Здравоохранение
"Подскажите, пожалуйста, когда в нашем районе планируется ремонт дворовых проездов и можно ли посмотреть график работ?",запрос информации,Благоустройство
"Добрый день. Обращаюсь с жалобой по адресу ул. Садовая, д. 32, кв. 16: двор не чистят уже 4 день(дня). Заявки в диспетчерскую подавала — реакции нет. Прошу разобраться и дать ответ в установленные сроки.",жалоба,Благоустройство
"Сообщаю: на детской площадке возле пр. Мира, д. 20, кв. 36 сломаны качели (отошла перекладина), дети могут травмироваться. Просьба отремонтировать/огородить.",сообщение о неисправности,Благоустройство
"Прошу оказать услугу по промывке системы отопления в квартире по адресу наб. Реки, д. 15, кв. 59, радиаторы греют не полностью. Готова быть дома в будни после 18:00.",запрос услуги,ЖКХ
"Прошу включить мой двор (ул. Лесная, д. 109, кв. 85) в список на зимнюю уборку и обработку реагентами, так как тротуар сильно обледеневает.",запрос услуги,Благоустройство
"Прошу включить мой двор (ул. Школьная, д. 117, кв. 2) в список на зимнюю уборку и обработку реагентами, так как тротуар сильно обледеневает. Заранее спасибо.",запрос услуги,Благоустройство
"Добрый день. Обращаюсь с жалобой по адресу ул. Школьная, д. 99, кв. 54: нечистоты текут по подъезду уже 10 день(дня). Заявки в диспетчерскую подавала — реакции нет. Прошу разобраться и дать ответ в установленные сроки.",жалоба,ЖКХ
"Прошу записать меня на приём к терапевту в поликлинику №14 и оформить направление к узкому специалисту, так как через портал не получается.",запрос услуги,Здравоохранение
"Прошу сообщить, когда планируется очередная поверка общедомового счётчика по адресу пр. Мира, д. 97, кв. 63, и кто её оплачивает.",запрос информации,ЖКХ
В АПТЕКЕ ПРИ ПОЛИКЛИНИКЕ НЕТ ЛЬГОТНЫХ ЛЕКАРСТВ,запрос информации,Здравоохранение
Сообщаю о неисправности электронной очереди в поликлинике №8 — талон печатается без времени и кабинета. Нужна проверка.,сообщение о неисправности,Здравоохранение
"Здравствуйте! Во дворе по адресу ул. Парковая, д. 8, кв. 31 детская площадка в плохом состоянии: сломаны элементы и торчат гвозди. Дети там играют каждый день. Прошу срочно отремонтировать и огородить место до ремонта. Заранее спасибо.",жалоба,Благоустройство
Прошу включить территорию у дома ул. Победы д. 113 кв. 6 в план благоустройства на 2026 год (асфальтирование лавочки урны). Жильцы инициативу поддерживают. Заранее спасибо.,заявление/ходатайство,Благоустройство
"Прошу включить мой двор (ул. Советская, д. 9, кв. 22) в список на зимнюю уборку и обработку реагентами, так как тротуар сильно обледеневает.",запрос услуги,Благоустройство
"Прошу разъяснить порядок получения льготных лекарств для пациента с хроническим заболеванием, какие нужны документы и куда их подавать. Заранее спасибо.",запрос информации,Здравоохранение
Сообщаю о неисправности электронной очереди в поликлинике №6 — талон печатается без времени и кабинета. Нужна проверка.,сообщение о неисправности,Здравоохранение
Предлагаю организовать в нашем доме ул. Садовая д. 38 кв. 42 раздельный сбор отходов — хотя бы стекло/пластик. Во дворе есть место рядом с ТБО. Думаю жители поддержат.,предложение,Благоустройство
"Сообщаю: на детской площадке возле ул. Лесная, д. 83, кв. 18 сломаны качели (отошла перекладина), дети могут травмироваться. Просьба отремонтировать/огородить.",сообщение о неисправности,Благоустройство
в поликлинике не берут трубку уже третий день,сообщение о неисправности,Здравоохранение
"Прошу записать меня на приём к терапевту в поликлинику №12 и оформить направление к узкому специалисту, так как через портал не получается.",запрос услуги,Здравоохранение
"Спасибо сотрудникам района за уборку территории у пр. Мира, д. 19, кв. 77 и покос травы — стало гораздо чище.",благодарность,Благоустройство
"Прошу рассмотреть возможность предоставления рассрочки по оплате коммунальных услуг по адресу ул. Школьная, д. 103, кв. 31 в связи с временной потерей дохода. Документы могу приложить.",заявление/ходатайство,ЖКХ
"Подскажите, пожалуйста, когда в нашем районе планируется ремонт дворовых проездов и можно ли посмотреть график работ?",запрос информации,Благоустройство
Прошу выдать направление в специализированное медучреждение для получения льготных лекарств. Амбулаторная карта находится в поликлинике №5. Заранее спасибо.,заявление/ходатайство,Здравоохранение
"Прошу сообщить, когда планируется очередная поверка общедомового счётчика по адресу ул. Советская, д. 39, кв. 57, и кто её оплачивает.",запрос информации,ЖКХ
"Хочу поблагодарить аварийную службу за быструю ликвидацию протечки в доме ул. Карла Маркса, д. 85, кв. 28 — приехали в течение часа, всё сделали аккуратно.",благодарность,ЖКХ
"Спасибо сотрудникам района за уборку территории у ул. Победы, д. 99, кв. 18 и покос травы — стало гораздо чище.",благодарность,Благоустройство
"Прошу сообщить, когда планируется очередная поверка общедомового счётчика по адресу ул. Центральная, д. 19, кв. 12, и кто её оплачивает.",запрос информации,ЖКХ
Сообщаю о неисправности: в подъезде по адресу ул. Карла Маркса д. 83 кв. 39 перегорело освещение на 3 этаже ночью там полностью темно. Просьба заменить лампу.,сообщение о неисправности,ЖКХ
"Здравствуйте! Во дворе по адресу наб. Реки, д. 19, кв. 32 детская площадка в плохом состоянии: сломаны элементы и торчат гвозди. Дети там играют каждый день. Прошу срочно отремонтировать и огородить место до ремонта.",жалоба,Благоустройство
"яма на дороге перед домом, машины бьются",сообщение о неисправности,Благоустройство
"Сообщаю: на детской площадке возле ул. Лесная, д. 100, кв. 82 сломаны качели (отошла перекладина), дети могут травмироваться. Просьба отремонтировать/огородить.",сообщение о неисправности,Благоустройство
Прошу записать меня на приём к терапевту в поликлинику №15 и оформить направление к узкому специалисту так как через портал не получается.,запрос услуги,Здравоохранение
Прошу разъяснить порядок получения льготных лекарств для пациента с хроническим заболеванием какие нужны документы и куда их подавать.,запрос информации,Здравоохранение
"Прошу разобраться с работой регистратуры поликлиники №14: невозможно дозвониться, запись на приём отсутствует, сотрудники отвечают грубо. Прошу провести проверку и сообщить результат.",жалоба,Здравоохранение
"Прошу разъяснить порядок получения льготных лекарств для пациента с хроническим заболеванием, какие нужны документы и куда их подавать.",запрос информации,Здравоохранение
"двор зарос травой, просьба покосить",сообщение о неисправности,Благоустройство
"Хочу поблагодарить аварийную службу за быструю ликвидацию протечки в доме ул. Парковая, д. 108, кв. 55 — приехали в течение часа, всё сделали аккуратно.",благодарность,ЖКХ
в аптеке при поликлинике нет льготных лекарств,запрос информации,Здравоохранение
"Хочу предложить высадить кустарники/деревья вдоль пешеходной дорожки у дома ул. Победы, д. 115, кв. 50, сейчас там пусто и летом пыльно. Можно сделать субботник совместно с жителями.",предложение,ЖКХ
"Сообщаю о неисправности: в подъезде по адресу ул. Карла Маркса, д. 98, кв. 40 перегорело освещение на 3 этаже, ночью там полностью темно. Просьба заменить лампу.",сообщение о неисправности,ЖКХ
"двор зарос травой, просьба покосить",жалоба,Благоустройство
"Прошу разъяснить порядок получения льготных лекарств для пациента с хроническим заболеванием, какие нужны документы и куда их подавать. Заранее спасибо.",запрос информации,Здравоохранение
"Прошу включить мой двор (ул. Парковая, д. 90, кв. 78) в список на зимнюю уборку и обработку реагентами, так как тротуар сильно обледеневает.",запрос услуги,Благоустройство
Выражаю благодарность врачу поликлиники №6 за внимательное отношение и подробные разъяснения по лечению.,благодарность,Здравоохранение
"Предлагаю сделать электронную форму обратной связи на сайте поликлиники, чтобы можно было оставить отзыв по работе врача и быстро получить ответ.",предложение,Здравоохранение
"Прошу разобраться с работой регистратуры поликлиники №11: невозможно дозвониться, запись на приём отсутствует, сотрудники отвечают грубо. Прошу провести проверку и сообщить результат.",жалоба,Здравоохранение
"Предлагаю организовать в нашем доме ул. Победы, д. 6, кв. 53 раздельный сбор отходов — хотя бы стекло/пластик. Во дворе есть место рядом с ТБО. Думаю, жители поддержат.",предложение,Благоустройство
"Спасибо сотрудникам района за уборку территории у ул. Советская, д. 102, кв. 34 и покос травы — стало гораздо чище.",благодарность,Благоустройство
"Добрый день. Обращаюсь с жалобой по адресу ул. Победы, д. 4, кв. 80: кусты заросли уже 7 день(дня). Заявки в диспетчерскую подавала — реакции нет. Прошу разобраться и дать ответ в установленные сроки.",жалоба,Благоустройство
"во дворе огромная лужа после дождя, никто не убирает",сообщение о неисправности,Благоустройство
"Сообщаю о неисправности: в подъезде по адресу ул. Советская, д. 111, кв. 79 перегорело освещение на 3 этаже, ночью там полностью темно. Просьба заменить лампу.",сообщение о неисправности,ЖКХ
"Прошу разъяснить порядок получения льготных лекарств для пациента с хроническим заболеванием, какие нужны документы и куда их подавать.",запрос информации,Здравоохранение
"Хочу поблагодарить аварийную службу за быструю ликвидацию протечки в доме ул. Школьная, д. 33, кв. 17 — приехали в течение часа, всё сделали аккуратно. Заранее спасибо.",благодарность,ЖКХ
